OBP Difference,AVG Difference,SLG Difference,OPS Difference,ERA Difference,WHIP Difference,K9 Difference,BB9 Difference,Home Recency Adv,Run Differential,Head to Head,Home Win
-0.019,-0.016,-0.045,-0.065,2.66,0.386,-5.8,-0.1,-2,64,0,1
-0.032,-0.006,-0.077,-0.11,0.65,0.164,4.9,0.1,3,-6,1,0
-0.007,-0.014,-0.024,-0.03,-0.36,-0.402,0.2,0.7,5,19,0,1
0.011,0.015,0.07,0.082,7.2,4.8,-9,0,5,43,0,0
0.003,0.007,0.01,0.013,-6.03,-2.341,-0.3,3.5,1,-89,0,0
-0.069,-0.071,-0.166,-0.234,2.76,1.2,3.4,-1.9,-2,-36,0,0
-0.002,0.011,-0.022,-0.023,0,0.489,1.5,0,0,-48,0,0
-0.074,-0.073,-0.137,-0.212,1.73,-0.3,2.5,1.3,0,-24,0,0
-0.02,-0.02,-0.086,-0.107,6.91,1.481,10.1,-1.7,0,-106,-1,1
0.007,0.001,0.017,0.023,-3.5,-0.647,1.1,1.7,-4,-232,-1,1
-0.009,-0.008,-0.046,-0.055,-1.65,-0.963,-7.5,1.5,-4,-44,0,1
0.02,0.007,-0.042,-0.023,0.43,0.246,5.1,0.3,-2,27,-1,1
0.002,0.013,-0.016,-0.014,-5.13,-4.86,8.9,5.7,4,-9,-2,0
0.055,0.034,0.135,0.189,2.92,0.717,0.2,-0.9,3,54,1,1
-0.041,-0.01,0.023,-0.018,-2,1.044,0.2,-2.6,0,-29,0,0
0.032,0.012,0.017,0.048,1.38,-1.147,3.7,0.4,-3,72,0,1
0.006,0.031,0.018,0.024,0.14,-0.348,-0.9,-0.8,3,-8,1,1
0.028,0.006,0.004,0.032,1.67,2.336,-0.5,-2.7,5,25,0,1
-0.021,-0.015,0.015,-0.007,-0.68,0.462,3.4,-1,5,39,0,0
-0.001,0.018,0.042,0.04,-1.26,1.659,4.4,-1.2,0,-97,0,1
-0.034,-0.045,-0.121,-0.155,1.14,0.466,-6.5,-0.8,-2,-38,0,1
-0.006,0.025,-0.017,-0.024,-3.1,-0.677,-9.3,-0.8,0,-62,0,0
-0.017,-0.049,-0.05,-0.067,1.56,1.397,3.5,-0.9,1,-32,0,1
-0.02,-0.016,-0.023,-0.043,-2.97,-0.295,-2.2,-1.3,-1,-104,-2,1
-0.021,-0.019,-0.02,-0.041,-8.36,-3.669,3.6,5.2,-5,-228,-2,0
-0.008,0.008,-0.033,-0.04,-3.18,-0.357,1.2,-1.1,-4,-38,0,1
0.032,0.036,0.019,0.052,-8.59,-2.388,-4,1.4,-1,37,0,1
-0.03,-0.028,-0.073,-0.101,0.82,-0.105,-1.2,0.2,3,-15,-3,1
